elev_m,ave_nbp_deg_k,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_lfl,storage_temp_deg_k,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_lfl,discharge_temp_deg_k,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,discharge_diameter_in,release_orientation_rad,press_psia,area_conc_high_m2
1,266.7769947,31.0571,31.0571,0.002,49000,308.15,1,0.002,0,0,0,0,965.9626945,1.931925389,965.9626945,1.931925389,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,965.9626945,1.931925389,965.9626945,1.931925389,4,0.01,94.6959,154406.695
1,308.5723586,31.07596166,44.41263232,0.001625349,27686.36758,300.15,0.975209186,0.001585055,0,0,0,0,2154.623588,3.502014525,1039.620102,1.689745122,44.41279269,0.001625359,27686.19938,300.1386405,0.97521511,0.001585074,0,0,0,0,2154.623588,3.5020358,1039.620102,1.689755387,6,0.01,23.6959,141822.3764
1,280.2234025,45.08368,45.08368,0.002857143,28000,293.15,1,0.002857143,0,0,0,0,3992.575584,11.40735881,3992.575584,11.40735881,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,3992.575584,11.40735881,3992.575584,11.40735881,2,0.01,44.6959,140576.0598
0,283.4926291,44.05256,44.05256,0.002,30000,293.15,1,0.002,0,0,0,0,1189.818424,2.379636847,1189.818424,2.379636847,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,1189.818424,2.379636847,1189.818424,2.379636847,3,0.01,29.0074982,140286.9298
3,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.130226,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,2,0.01,24.6959,139664.409
3,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.130226,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,2,0.01,24.6959,139664.409
3,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,2,0.01,79.6959,133682.9506
3,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,2,0.01,79.6959,133682.9506
3,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,2,0.01,79.6959,133682.9506
3,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,2,0.01,79.6959,133682.9506
1,308.5723586,31.07596166,44.44048928,0.001627064,27657.18114,298.15,0.976238318,0.001588402,0,0,0,0,2413.441001,3.926822637,1164.501212,1.89471784,44.44082848,0.001627085,27656.82612,298.1253063,0.976250849,0.001588443,0,0,0,0,2413.441001,3.926873044,1164.501212,1.894742162,2,0.01,34.6959,122794.5979
1,325.333241,25.01385837,43.36090657,0.001560591,28835.22317,300.15,0.936354811,0.001461267,0,0,0,0,1940.724189,3.028677386,501.7773616,0.783069411,43.3611672,0.001560607,28834.92667,300.1425108,0.93636444,0.001461297,0,0,0,0,1940.724189,3.028708529,501.7773616,0.783077463,5,0.01,23.6959,112541.544
1,327.7412284,35.09411469,56.88551768,0.001261151,21144.70217,298.15,0.945863404,0.001192877,0,0,0,0,2137.110472,2.695219448,888.1706831,1.120117528,56.88656395,0.001261185,21144.13304,298.1249797,0.945888864,0.001192941,0,0,0,0,2137.110472,2.695291995,888.1706831,1.120147678,2,0.01,34.6959,88518.39619
1,280.2234025,45.08368,45.08368,0.002857143,28000,350.15,1,0.002857143,0,0,0,0,487.9814603,1.394232744,487.9814603,1.394232744,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,487.9814603,1.394232744,487.9814603,1.394232744,12,0.01,234.6959,85951.71328
1,283.4926291,44.05256,44.05256,0.002,30000,294.25,1,0.002,0,0,0,0,3859.026581,7.718053162,3859.026581,7.718053162,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,3859.026581,7.718053162,3859.026581,7.718053162,3.6,0.01,64.6959,82889.70102
5,271.3971461,39.473048,31.78951591,0.001965189,47445.53439,271.35,0.982594571,0.001930984,0,0,0,0,481.3410913,0.945926287,385.072873,0.756741029,31.78950324,0.00196519,47445.56041,271.3480902,0.982594872,0.001930985,0,0,0,0,481.3410913,0.945926576,385.072873,0.756741261,10,1.570796327,64.6959,78486.77457
1,280.2234025,45.08368,45.08368,0.002857143,28000,300.15,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,687.6102394,1.964600684,687.6102394,1.964600684,1,0.01,114.6959,66666.98478
1,341.7348286,21.64030301,41.48596599,0.001445147,31138.70627,300.15,0.867088043,0.001253069,0,0,0,0,1660.143113,2.399150405,222.3277692,0.321296251,41.48633758,0.00144517,31138.21328,300.1444785,0.867101771,0.001253109,0,0,0,0,1660.143113,2.399188389,222.3277692,0.321301337,4,0.01,23.6959,61779.8764
3,280.2234025,45.08368,45.08368,0.002857143,28000,299.85,1,0.002857143,0,0,0,0,45721.8,130.6337143,45721.8,130.6337143,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,45721.8,130.6337143,45721.8,130.6337143,1,0.01,114.6959,56744.96001
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,14.10317886,0.705158943,14.10317886,0.705158943,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,14.10317886,0.705158943,14.10317886,0.705158943,1,0.01,514.6959,56059.62447
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,14.10317886,0.705158943,14.10317886,0.705158943,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,14.10317886,0.705158943,14.10317886,0.705158943,0,0.01,514.6959,56059.62447
6,280.2234025,45.08368,45.08368,0.002857143,28000,280.22,1,0.002857143,0,0,0,0,166.357316,0.475306617,166.357316,0.475306617,45.08368,0.002857143,28000,280.2197326,1,0.002857143,0,0,0,0,166.357316,0.475306617,166.357316,0.475306617,8,1.570796327,234.6959,46029.84791
6,280.2234025,45.08368,45.08368,0.002857143,28000,280.22,1,0.002857143,0,0,0,0,361.9935196,1.034267199,361.9935196,1.034267199,45.08368,0.002857143,28000,280.2197198,1,0.002857143,0,0,0,0,361.9935196,1.034267199,361.9935196,1.034267199,8,1.570796327,234.6959,41863.39851
1,266.7769947,31.0571,31.0571,0.002,49000,308.15,1,0.002,0,0,0,0,193.1925389,0.386385078,193.1925389,0.386385078,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,193.1925389,0.386385078,193.1925389,0.386385078,4,0.01,94.6959,41830.21659
4,305.4358074,28.15952765,44.36552718,0.00278134,28763.11536,300.15,0.973468959,0.002707548,0,0,0,0,355.119593,0.987708288,133.0858528,0.37015699,44.36717761,0.002781514,28761.31392,300.0489088,0.973529932,0.002707887,0,0,0,0,355.119593,0.987770152,133.0858528,0.370180175,1,0.785398163,105.6959,39973.95511
4,266.7769947,31.0571,31.0571,0.002,49000,266.15,1,0.002,0,0,0,0,257.5900519,0.515180104,257.5900519,0.515180104,31.0571,0.002,49000,266.1497944,1,0.002,0,0,0,0,257.5900519,0.515180104,257.5900519,0.515180104,6,1.570796327,84.6959,39486.55716
0,304.9513798,59.11026,59.11026,0.001333333,20000,299.85,1,0.001333333,0,0,0,0,39092.43245,52.12324327,39092.43245,52.12324327,59.11026,0.001333333,20000,299.830626,1,0.001333333,0,0,0,0,39092.43245,52.12324327,39092.43245,52.12324327,4,0.01,23.4959,39188.89045
0,283.4926291,44.05256,44.05256,0.002,30000,293.15,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,1816.012509,3.632025017,1816.012509,3.632025017,1,0.01,62.6959,37201.64198
3,262.9838723,38.70764579,28.67111075,0.001185565,53419.07225,303.15,0.414947576,0.000491947,0,0,0,0,3875.203385,4.59430358,2994.431688,3.55009192,26.92188486,0.00100741,59141.25214,262.9838701,0.352593606,0.000355206,0,0,0,0,3875.203385,3.90391982,2994.431688,3.016621337,20,0.01,101.6959,34828.67131
0.2,330.0054514,80.86651812,87.13342026,0.001548445,35711.04261,313.15,0.193555591,0.00029971,0,0,0,0,3884.325662,6.014663601,442.6012464,0.685343567,87.13344596,0.001548448,35711.05194,313.1495803,0.193555964,0.000299711,0,0,0,0,3884.325662,6.014675183,442.6012464,0.685344887,6,0.01,14.7959,34140.20414
1,280.2234025,45.08368,45.08368,0.002857143,28000,293.15,1,0.002857143,0,0,0,0,3992.575584,11.40735881,3992.575584,11.40735881,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,3992.575584,11.40735881,3992.575584,11.40735881,1,0.01,44.6959,33577.96458
2,280.2234025,45.08368,45.08368,0.002857143,28000,280.22,1,0.002857143,0,0,0,0,361.9935196,1.034267199,361.9935196,1.034267199,45.08368,0.002857143,28000,280.2197198,1,0.002857143,0,0,0,0,361.9935196,1.034267199,361.9935196,1.034267199,8,0.01,234.6959,32076.66041
1,373.5203096,37.3214985,40.65259647,0.003232699,148482.7191,293.15,0.808174832,0.002612586,0,0,0,0,3161.880851,10.2214101,2179.330499,7.045120237,40.65549991,0.003233114,148463.6774,293.0931493,0.808278487,0.002613256,0,0,0,0,3161.880851,10.22272109,2179.330499,7.046023835,1,1.570796327,57.6959,31651.64921
1,373.5203096,37.3214985,40.65259647,0.003232699,148482.7191,293.15,0.808174832,0.002612586,0,0,0,0,3161.880851,10.2214101,2179.330499,7.045120237,40.65549991,0.003233114,148463.6774,293.0931493,0.808278487,0.002613256,0,0,0,0,3161.880851,10.22272109,2179.330499,7.046023835,1,1.570796327,57.6959,31651.64921
1,373.5203096,37.3214985,40.65259647,0.003232699,148482.7191,293.15,0.808174832,0.002612586,0,0,0,0,3161.880851,10.2214101,2179.330499,7.045120237,40.65549991,0.003233114,148463.6774,293.0931493,0.808278487,0.002613256,0,0,0,0,3161.880851,10.22272109,2179.330499,7.046023835,1,1.570796327,57.6959,31651.64921
1,373.5203096,37.3214985,40.65259647,0.003232699,148482.7191,293.15,0.808174832,0.002612586,0,0,0,0,3161.880851,10.2214101,2179.330499,7.045120237,40.65549991,0.003233114,148463.6774,293.0931493,0.808278487,0.002613256,0,0,0,0,3161.880851,10.22272109,2179.330499,7.046023835,1,1.570796327,57.6959,31651.64921
6,239.7475658,17.03052,17.03052,0.000666667,150000,243.922,1,0.000666667,0,0,0,0,3290.445624,2.193630416,3290.445624,2.193630416,17.03052,0.000666667,150000,239.7475665,1,0.000666667,0,0,0,0,3290.445624,2.193630416,3290.445624,2.193630416,5,1.570796327,18.0959,31363.16665
4,239.7475658,17.03052,17.03052,0.000666667,150000,283.15,1,0.000666667,0,0,0,0,2348.724525,1.56581635,2348.724525,1.56581635,17.03052,0.000666667,150000,239.7475665,1,0.000666667,0,0,0,0,2348.724525,1.56581635,2348.724525,1.56581635,2,0.01,623.6959,30405.23567
0.5,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.0517815,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,0.5,0.01,64.6959,30311.82927
0.5,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.0517815,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,0.5,0.01,64.6959,30311.82927
1,305.4358074,28.15952765,44.36552718,0.00278134,28763.11536,300.15,0.973468959,0.002707548,0,0,0,0,355.119593,0.987708288,133.0858528,0.37015699,44.36717761,0.002781514,28761.31392,300.0489088,0.973529932,0.002707887,0,0,0,0,355.119593,0.987770152,133.0858528,0.370180175,0.6,0.01,105.6959,29131.99281
1,374.7799279,38.99988589,40.08805094,0.003152079,152280.4223,293.15,0.788019854,0.002483901,0,0,0,0,781.7651716,2.464185906,496.8216533,1.566021307,40.09365075,0.003152879,152241.7987,293.0482486,0.788219774,0.002485162,0,0,0,0,781.7651716,2.464811067,496.8216533,1.566418605,1,1.570796327,86.6959,28415.65066
1.5,280.2234025,45.08368,45.08368,0.002857143,28000,303.15,1,0.002857143,0,0,0,0,6654.29264,19.01226469,6654.29264,19.01226469,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,6654.29264,19.01226469,6654.29264,19.01226469,2,0.01,58.6959,27797.94899
