study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2
4076,5,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,9333.024032,9390.936339,46.67071552
4076,5,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,5.825989791,64576.91291,1.414301778
4073,6,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,7614.506221,9390.936339,56.3584575
4073,6,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,5.835686218,64576.91291,1.416010288
4071,1.5,40.84442559,53.16417214,50.9708379,75-04-7,0.001154979,24600.8575,126.7,0.692987642,0.000800386,0,0,0,0,1253.983601,1.448325232,406.6532501,0.469676128,50.55476325,75-04-7,0.001307805,24384.93637,40.84442572,0.784683253,0.001026213,0,0,0,0,1253.983601,1.639966552,406.6532501,0.531823325,3600,night,inhalation,764.6397416,37430.94898,7646.397416,69.31947444
4071,1.5,40.84442559,53.16417214,50.9708379,75-04-7,0.001154979,24600.8575,126.7,0.692987642,0.000800386,0,0,0,0,1253.983601,1.448325232,406.6532501,0.469676128,50.55476325,75-04-7,0.001307805,24384.93637,40.84442572,0.784683253,0.001026213,0,0,0,0,1253.983601,1.639966552,406.6532501,0.531823325,3600,night,flash_fire,12192.46819,26.60023117,24384.93637,7.234203139
4069,1.5,72.6345966,57.05025566,64.26236888,109-89-7,0.003289196,20490.26571,126.7,0.657839131,0.002163762,0,0,0,0,1168.566192,3.843642839,503.6725817,1.656677667,68.32100895,109-89-7,0.00370896,18817.74648,72.63459743,0.741792096,0.002751278,0,0,0,0,1168.566192,4.334165823,503.6725817,1.8681017,3600,night,inhalation,269.6173242,149748.58,2696.173242,2059.753694
4069,1.5,72.6345966,57.05025566,64.26236888,109-89-7,0.003289196,20490.26571,126.7,0.657839131,0.002163762,0,0,0,0,1168.566192,3.843642839,503.6725817,1.656677667,68.32100895,109-89-7,0.00370896,18817.74648,72.63459743,0.741792096,0.002751278,0,0,0,0,1168.566192,4.334165823,503.6725817,1.8681017,3600,night,flash_fire,9408.873241,50.02615356,18817.74648,12.14362025
4068,0,85.53835759,38.98917904,54.87983992,123-72-8,0.000280352,30542.83911,35,0.237610769,6.66E-05,0,0,0,0,354.518684,0.099389863,53.23120041,0.01492345,54.87997394,123-72-8,0.000280352,30542.72232,34.99877334,0.237611365,6.66E-05,0,0,0,0,354.518684,0.099390113,53.23120041,0.014923487,10,night,inhalation,3566.941156,4228.655167,,
4068,0,85.53835759,38.98917904,54.87983992,123-72-8,0.000280352,30542.83911,35,0.237610769,6.66E-05,0,0,0,0,354.518684,0.099389863,53.23120041,0.01492345,54.87997394,123-72-8,0.000280352,30542.72232,34.99877334,0.237611365,6.66E-05,0,0,0,0,354.518684,0.099390113,53.23120041,0.014923487,10,night,flash_fire,15271.36116,45.88017146,30542.72232,2.997210047
4066,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,night,inhalation,500,1820.568312,5000,110.7527566
