elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,conc_low_ppm,area_conc_low_m2,conc_high_ppm,catastrophic_release_01,discharge_diameter,release_orientation,pressure_psig,area_conc_high_m2
1,100.0289372,18.69803753,18.6531468,9.11E-05,110,0.022772483,2.07E-06,0,0,0,0,647.1267363,0.058946729,15.77379594,0.001436834,18.68727732,9.60E-05,100.0289385,0.023990976,2.30E-06,3.447136623,0.000330801,0.082700172,7.94E-06,647.1267363,0.062100808,15.77379594,0.001513715,3600,10420.58478,13.4190592,104205.8478,0,0.27,0,17.4,1.237453921
1,100.0289372,18.69803753,18.6531468,9.11E-05,110,0.022772483,2.07E-06,0,0,0,0,647.1267363,0.058946729,15.77379594,0.001436834,18.68727732,9.60E-05,100.0289385,0.023990976,2.30E-06,3.447136623,0.000330801,0.082700172,7.94E-06,647.1267363,0.062100808,15.77379594,0.001513715,3600,10420.58478,13.4190592,104205.8478,0,0.27,0,17.4,1.237453921
3,-193.3428198,31.92695504,31.92695504,0.000488,21.1,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,31.92695504,0.000488,18.661681,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,3600,2049.180328,3.270686553,20491.80328,0,2,6,0.5,1.240366962
3,-193.3428198,31.92695504,31.92695504,0.000488,21.1,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,31.92695504,0.000488,18.661681,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,3600,2049.180328,3.270686553,20491.80328,0,2,6,0.5,1.240366962
3,-193.3428198,31.92695504,31.92695504,0.000488,21.1,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,31.92695504,0.000488,18.661681,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,3600,2049.180328,3.270686553,20491.80328,0,2,6,0.5,1.240366962
3,-193.3428198,31.92695504,31.92695504,0.000488,21.1,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,31.92695504,0.000488,18.661681,0.244,0.000119072,2505.719694,1.22279121,611.3956052,0.298361055,2505.719694,1.22279121,611.3956052,0.298361055,3600,2049.180328,3.270686553,20491.80328,0,2,6,0.5,1.240366962
2,-29.93709658,19.39270237,19.39270237,0.00056176,172,0.84264014,0.000473362,1289.144727,0.724190062,1086.285093,0.610231615,1289.144727,0.724190062,1086.285093,0.610231615,19.18637927,0.000570923,24.02157312,0.856384623,0.00048893,1266.040927,0.722811988,1084.217982,0.619005072,1289.144727,0.736002481,1086.285093,0.620185233,3600,1751.549432,3.657013294,17515.49432,0,4,6,315,1.268115987
1,3.078739713,59.11026,59.11026,0.002,27,1,0.002,0,0,0,0,30.78991701,0.061579834,30.78991701,0.061579834,59.11026,0.002,3.078739224,1,0.002,0,0,0,0,30.78991701,0.061579834,30.78991701,0.061579834,3600,500,342.2949989,5000,0,0.06,0,45,1.275782314
1,-33.40243422,17.03052,17.03052,0.000666667,20,1,0.000666667,0,0,0,0,3229.496222,2.152997481,3229.496222,2.152997481,17.03052,0.000666667,-33.40243351,1,0.000666667,0,0,0,0,3229.496222,2.152997481,3229.496222,2.152997481,3600,1500,321.9871044,15000,0,0.08,0,115,1.282016959
2,-252.5714779,3.528740859,3.528740859,9.83E-05,35,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,9.83E-05,-112.356875,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,10176.54343,108.0275264,101765.4343,0,0.5,0,449,1.428020298
