CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
4069,1654,422,PROPIONIC ACID,79-09-4,100.0
4070,1655,422,PROPIONIC ACID,79-09-4,100.0
4071,1657,292,ISOBUTYRIC ACID,79-31-2,100.0
4072,1658,250,ACETIC ACID,64-19-7,100.0
4073,1659,472,N-BUTYRIC ACID,107-92-6,100.0
4074,1660,250,ACETIC ACID,64-19-7,100.0
4075,1661,250,ACETIC ACID,64-19-7,100.0
4076,1662,472,N-BUTYRIC ACID,107-92-6,100.0
4077,1663,472,N-BUTYRIC ACID,107-92-6,100.0
4080,1656,422,PROPIONIC ACID,79-09-4,100.0
4081,1664,17,AMMONIA,7664-41-7,100.0
4082,1665,422,PROPIONIC ACID,79-09-4,100.0
4083,1666,422,PROPIONIC ACID,79-09-4,100.0
4084,1668,250,ACETIC ACID,64-19-7,72.0
4085,1668,99,WATER,7732-18-5,28.0
4086,1669,250,ACETIC ACID,64-19-7,30.0
4087,1670,25,CHLORINE,7782-50-5,100.0
4089,1669,99,WATER,7732-18-5,70.0
4090,1671,422,PROPIONIC ACID,79-09-4,100.0
4091,1672,250,ACETIC ACID,64-19-7,72.0
4092,1672,99,WATER,7732-18-5,18.0
4093,1673,422,PROPIONIC ACID,79-09-4,100.0
4094,1675,422,PROPIONIC ACID,79-09-4,100.0
4095,1676,227,PROPANAL,123-38-6,100.0
4096,1677,27,DIMETHYLAMINE,124-40-3,0.26
4097,1677,48,METHANOL,67-56-1,0.16
4098,1677,24,CARBON MONOXIDE,630-08-0,0.16
4099,1677,508,"N,N-DIMETHYLFORMAMIDE",68-12-2,0.4
4100,1678,261,BUTANAL,123-72-8,100.0
4101,1679,10,ACETONE,67-64-1,1.0
4102,1680,373,"1,1-DICHLOROETHANE",75-34-3,100.0
4104,1681,275,"1,2-DICHLOROETHANE",107-06-2,100.0
4105,1682,275,"1,2-DICHLOROETHANE",107-06-2,100.0
4106,1683,17,AMMONIA,7664-41-7,100.0
4112,1685,14,ACRYLONITRILE,107-13-1,100.0
4113,1686,250,ACETIC ACID,64-19-7,1.0
4114,1687,1182,2-ETHYLHEXANAL,123-05-7,100.0
4115,1688,472,N-BUTYRIC ACID,107-92-6,67.0
4116,1688,422,PROPIONIC ACID,79-09-4,33.0
4117,1689,250,ACETIC ACID,64-19-7,70.0
4118,1689,472,N-BUTYRIC ACID,107-92-6,20.0
4119,1689,422,PROPIONIC ACID,79-09-4,10.0
4120,1690,250,ACETIC ACID,64-19-7,70.0
4121,1690,472,N-BUTYRIC ACID,107-92-6,20.0
4122,1690,422,PROPIONIC ACID,79-09-4,10.0
4123,1691,250,ACETIC ACID,64-19-7,35.0
4124,1691,472,N-BUTYRIC ACID,107-92-6,10.0
4125,1691,422,PROPIONIC ACID,79-09-4,5.0
4126,1691,99,WATER,7732-18-5,50.0
4127,1692,472,N-BUTYRIC ACID,107-92-6,100.0
4128,1693,240,DIKETENE,674-82-8,100.0
4130,1695,240,DIKETENE,674-82-8,100.0
4132,1696,10,ACETONE,67-64-1,100.0
4133,1697,74,N-NONANE,111-84-2,100.0
4134,1698,1392,BUTYRIC ANHYDRIDE,106-31-0,100.0
4135,1699,345,ACETIC ANHYDRIDE,108-24-7,50.0
4136,1699,1392,BUTYRIC ANHYDRIDE,106-31-0,50.0
4137,1700,345,ACETIC ANHYDRIDE,108-24-7,100.0
