CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
2909,1267,36,HYDROGEN,1333-74-0,55.0
2910,1268,24,CARBON MONOXIDE,630-08-0,45.0
2911,1268,36,HYDROGEN,1333-74-0,55.0
2912,1240,46,ISOPROPANOL,67-63-0,10.0
2913,1240,99,WATER,7732-18-5,28.0
2914,1240,349,ISOPROPYL ACETATE,108-21-4,50.0
2915,1269,1392,BUTYRIC ANHYDRIDE,106-31-0,100.0
2916,1270,399,PROPIONIC ANHYDRIDE,123-62-6,100.0
2917,1271,48,METHANOL,67-56-1,100.0
2918,1272,48,METHANOL,67-56-1,53.6
2919,1272,1025,"1,4-CYCLOHEXANEDIMETHANOL",105-08-8,46.4
2920,1273,278,ISOBUTYRIC ANHYDRIDE,97-72-3,100.0
2922,1275,345,ACETIC ANHYDRIDE,108-24-7,50.0
2923,1275,1392,BUTYRIC ANHYDRIDE,106-31-0,50.0
2924,1276,399,PROPIONIC ANHYDRIDE,123-62-6,100.0
2925,1277,48,METHANOL,67-56-1,0.16
2926,1277,15,AIR,132259-10-0,0.84
2930,1187,1392,BUTYRIC ANHYDRIDE,106-31-0,100.0
2932,1280,456,DIMETHYLETHANOLAMINE,108-01-0,1.0
2933,1281,24,CARBON MONOXIDE,630-08-0,91.0
2934,1281,36,HYDROGEN,1333-74-0,9.0
2935,1282,48,METHANOL,67-56-1,0.4
2939,1285,25,CHLORINE,7782-50-5,100.0
2940,1286,25,CHLORINE,7782-50-5,100.0
2941,1287,10,ACETONE,67-64-1,100.0
2942,1288,48,METHANOL,67-56-1,0.4
2943,1289,48,METHANOL,67-56-1,0.4
2944,1290,48,METHANOL,67-56-1,0.03
2945,1290,326,METHYL FORMATE,107-31-3,0.97
2946,1291,48,METHANOL,67-56-1,0.03
2947,1291,326,METHYL FORMATE,107-31-3,0.97
2948,1292,48,METHANOL,67-56-1,0.03
2949,1292,326,METHYL FORMATE,107-31-3,0.97
2950,1293,48,METHANOL,67-56-1,100.0
2951,1294,48,METHANOL,67-56-1,100.0
2952,1295,48,METHANOL,67-56-1,100.0
2953,1282,326,METHYL FORMATE,107-31-3,0.6
2955,1288,326,METHYL FORMATE,107-31-3,0.6
