ave_nbp_deg_c,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_ppm,area_m2
-33.9906845191494,7782-50-5,0.05,,25.0,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,7782-50-5,0.05,,-33.99068352780128,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,3600,night,inhalation,20.0,446434.4165432378
-33.9906845191494,7782-50-5,0.05,,25.0,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,7782-50-5,0.05,,-33.99068352780128,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,3600,night,inhalation,200.0,56059.624471593466
-33.9906845191494,7782-50-5,0.05,,25.0,0.0,0.0,0.0,0.0,14103.178856514258,705.158942825713,14103.178856514258,705.158942825713,7782-50-5,0.05,,-33.99068352780128,0.0,0.0,0.0,0.0,14103.178856514258,705.158942825713,14103.178856514258,705.158942825713,3600,night,inhalation,20.0,13886863.93436158
-33.9906845191494,7782-50-5,0.05,,25.0,0.0,0.0,0.0,0.0,14103.178856514258,705.158942825713,14103.178856514258,705.158942825713,7782-50-5,0.05,,-33.99068352780128,0.0,0.0,0.0,0.0,14103.178856514258,705.158942825713,14103.178856514258,705.158942825713,3600,night,inhalation,200.0,1826995.5969667176
-33.9906845191494,7782-50-5,0.05,,25.0,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,7782-50-5,0.05,,-33.99068352780128,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,3600,night,inhalation,20.0,446434.4165432378
-33.9906845191494,7782-50-5,0.05,,25.0,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,7782-50-5,0.05,,-33.99068352780128,0.0,0.0,0.0,0.0,14.103178856514257,0.7051589428257129,14.103178856514257,0.7051589428257129,3600,night,inhalation,200.0,56059.624471593466
